N°Obs;Avez-vous déjà entendu parler des Deep Fakes ?;Comment évalueriez vous votre niveau de connaissance des Deep Fakes ?;Avez-vous déjà vu un Deep Fake sur les réseaux sociaux ?;_Sur quelles plateformes avez-vous principalement vu des Deep Fakes ? (Plusieurs choix possibles);Selon vous, à quelle fin les Deep Fakes sont-ils le plus souvent utilisés ?;Selon vous, quel est l’impact global des Deep Fakes sur la société ?;Quels domaines vous semblent les plus touchés par les deep fakes ? (Plusieurs choix possibles);Faites-vous confiance aux informations que vous trouvez sur les réseaux sociaux ?;Depuis que vous avez entendu parler des Deep Fakes, votre confiance dans les médias sociaux a-t-elle changé ?;À quelle fréquence vérifiez-vous l’authenticité d’une information avant de la partager ?;Quelles sont vos méthodes de vérification des informations en ligne ? (Plusieurs choix possibles);Avez-vous réduit la fréquence de partage d’informations sur les réseaux sociaux à cause de la méfiance liée aux Deep Fakes;Parmi les 4 photos, laquelle vous semble être une vraie photo ?;_Selon vous, laquelle vous semble être une vraie photo ?;Selon vous, quelle image est authentique ?;Parmi les 4 photos, laquelle est un Deepfakes ?;D’après vous, la personne dans cette vidéo est-elle réelle ou générée artificiellement ?;Selon vous, qui est le principal responsable de la lutte contre les deep fakes ?;Pensez-vous que les plateformes sociales devraient mettre en place des outils d’identification automatique des deep fakes ?;Seriez-vous favorable à des formations ou des campagnes de sensibilisation sur les deep fakes ?;Seriez-vous prêt(e) à suivre régulièrement des formations sur la détection des deep fakes ?;Quel est votre tranche d'âge ?;Vous êtes ...?;Quel est votre niveau d’éducation actuel ?;Quel est votre principal réseau social utilisé au quotidien ?;Clé;Date de saisie;Date de dernière modification;Date de dernier enregistrement;Temps de saisie;Langue;Progression;Dernière question saisie;Origine;Appareil utilisé pour la saisie;Campagne de diffusion
139;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Divertissement (humour, création artistique);Neutre;Divertissement/Célébrités;Cela dépend des sources;Légèrement augmenté;Parfois;Vérifier l’auteur et la crédibilité du média;Moyennement;1;3;3;1;Oui, elle est réelle;Les médias et journalistes;Oui;Sans opinion;Peu prêt(e);18-25 ans;Autre / Préfère ne pas répondre;Bac +5 et plus;Aucun;PWLJ-U9V7;18/04/2025 12:16:03;;18/04/2025 12:20:38;275,5331853;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
140;Oui;Moyennement informé(e);Oui;Autres;Arnaque ou fraude en ligne;Neutre;Informations financières;Non;Fortement diminué;Parfois;Rechercher d’autres sources fiables;Très fortement;1;2;3;4;Non, elle n'est pas réelle;Les médias et journalistes;Oui;Oui;Peu prêt(e);26-40 ans;Homme;Lycée;Facebook;WV8E-3MJY;18/04/2025 12:38:11;;18/04/2025 12:40:58;167,54321969999998;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
141;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Divertissement (humour, création artistique);Négatif;Divertissement/Célébrités;Cela dépend des sources;Resté stable;Toujours;Rechercher d’autres sources fiables;Pas du tout;1;3;3;3;Non, elle n'est pas réelle;Je ne sais pas;Oui;Sans opinion;Pas du tout prêt(e);26-40 ans;Femme;Lycée;Facebook;GALV-YR4Z;18/04/2025 12:38:43;;18/04/2025 12:44:46;363,01598359999997;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
142;Oui;Peu informé(e);Je ne suis pas sûr(e);"X anciennement Twitter;TikTok;YouTube;Autres";Désinformation (propagande, manipulation politique);Neutre;"Politique;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Non;Resté stable;Rarement;"Rechercher d’autres sources fiables;Utiliser des outils de fact-checking (ex : Décodex, Snopes)";Moyennement;1;2;3;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);26-40 ans;Homme;Bac +3 / Licence;Aucun;SGYW-YKAT;18/04/2025 12:50:31;;18/04/2025 12:53:24;173,44657800000004;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
143;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Désinformation (propagande, manipulation politique);Négatif;Journalisme/Actualités;Cela dépend des sources;Légèrement diminué;Rarement;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Légèrement;1;3;3;1;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Peu prêt(e);18-25 ans;Homme;Bac +5 et plus;TikTok;FXEM-59GS;18/04/2025 13:03:17;;18/04/2025 13:06:49;211,9553479;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
144;Non;Peu informé(e);Je ne suis pas sûr(e);TikTok;Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Moyennement;1;3;2;4;Non, elle n'est pas réelle;Les médias et journalistes;Oui;Oui;Assez prêt(e);18-25 ans;Femme;Bac +3 / Licence;TikTok;R3HK-XLYP;18/04/2025 13:44:40;;18/04/2025 13:47:45;185,0443661;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
145;Non;Pas du tout informé(e);Non;Autres;Autres;Neutre;"Divertissement/Célébrités;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Oui;Resté stable;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Utiliser des outils de fact-checking (ex : Décodex, Snopes)";Moyennement;1;3;3;1;Oui, elle est réelle;Les médias et journalistes;Oui;Oui;Pas du tout prêt(e);18-25 ans;Femme;Bac +3 / Licence;Aucun;NT39-GWCZ;18/04/2025 13:46:59;;18/04/2025 13:50:27;207,90150640000002;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
146;Oui;Moyennement informé(e);Oui;Autres;Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Légèrement diminué;Rarement;Vérifier l’auteur et la crédibilité du média;Légèrement;1;1;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);26-40 ans;Homme;Bac +3 / Licence;TikTok;E6G8-UP6A;18/04/2025 14:07:13;;18/04/2025 14:10:24;190,72919889999997;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
147;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Divertissement (humour, création artistique);Neutre;"Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;1;Non, elle n'est pas réelle;Les médias et journalistes;Oui;Non;Peu prêt(e);18-25 ans;Femme;Bac +3 / Licence;TikTok;DSWT-3G34;18/04/2025 14:07:56;;18/04/2025 14:10:34;158,65851629999997;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
148;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Désinformation (propagande, manipulation politique);Négatif;Événements sociaux (crises, catastrophes, etc.);Cela dépend des sources;Fortement augmenté;Toujours;Je ne vérifie pas;Pas du tout;1;3;3;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Pas du tout prêt(e);Plus de 60 ans;Autre / Préfère ne pas répondre;Collège ou moins;Aucun;WPP5-JURK;18/04/2025 14:07:51;;18/04/2025 14:10:39;167,68368980000002;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
149;Oui;Moyennement informé(e);Oui;Autres;Divertissement (humour, création artistique);Négatif;"Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;Rechercher d’autres sources fiables;Légèrement;1;3;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);18-25 ans;Femme;Bac +3 / Licence;TikTok;NCRJ-3PW6;18/04/2025 14:07:17;;18/04/2025 14:12:06;288,45912660000005;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
150;Oui;Très bien informé(e);Oui;Autres;Divertissement (humour, création artistique);Neutre;Journalisme/Actualités;Cela dépend des sources;Resté stable;Rarement;"Rechercher d’autres sources fiables;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;2;Oui, elle est réelle;Les gouvernements;Oui;Sans opinion;Indifférent(e);18-25 ans;Femme;Bac +3 / Licence;TikTok;KYN3-DFSZ;18/04/2025 14:12:24;;18/04/2025 14:17:20;296,5394549;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
151;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Divertissement (humour, création artistique);Neutre;"Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Peu prêt(e);18-25 ans;Femme;Bac +3 / Licence;Aucun;CFWE-YVPG;18/04/2025 15:45:24;;18/04/2025 15:50:40;316,63257680000004;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
152;Oui;Moyennement informé(e);Oui;Autres;Divertissement (humour, création artistique);Neutre;Divertissement/Célébrités;Cela dépend des sources;Resté stable;Toujours;"Vérifier l’auteur et la crédibilité du média;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;4;Non, elle n'est pas réelle;Les gouvernements;Oui;Sans opinion;Peu prêt(e);18-25 ans;Femme;Bac +3 / Licence;Aucun;GKF5-HTS8;18/04/2025 15:58:57;;18/04/2025 16:01:05;128,12054229999998;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
153;Oui;Peu informé(e);Je ne suis pas sûr(e);Instagram;Désinformation (propagande, manipulation politique);Négatif;Politique;Cela dépend des sources;Légèrement diminué;Rarement;Vérifier l’auteur et la crédibilité du média;Pas du tout;1;3;3;1;Non, elle n'est pas réelle;Les gouvernements;Oui;Non;Pas du tout prêt(e);18-25 ans;Homme;Bac +5 et plus;Instagram;TA54-C6TS;18/04/2025 16:20:26;;18/04/2025 16:23:08;162,7278427;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
154;Oui;Moyennement informé(e);Oui;"Facebook;X anciennement Twitter;Instagram";Désinformation (propagande, manipulation politique);Très négatif;"Politique;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Beaucoup;1;2;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);26-40 ans;Homme;Bac +5 et plus;Facebook;HFCD-F69Q;18/04/2025 17:04:55;;18/04/2025 17:12:32;457,2107897;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
155;Oui;Bien informé(e);Oui;"Facebook;X anciennement Twitter;Instagram;TikTok";Divertissement (humour, création artistique);Très négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Beaucoup;1;3;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Assez prêt(e);26-40 ans;Femme;Bac +5 et plus;Facebook;2AV7-LF7D;18/04/2025 17:18:27;;18/04/2025 17:23:25;298,7436733;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
156;Oui;Moyennement informé(e);Oui;TikTok;Arnaque ou fraude en ligne;Neutre;"Politique;Divertissement/Célébrités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Souvent;Vérifier l’auteur et la crédibilité du média;Légèrement;1;1;1;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);26-40 ans;Autre / Préfère ne pas répondre;Collège ou moins;Aucun;GGFH-XCFY;18/04/2025 17:55:35;;18/04/2025 18:04:15;519,7172083;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
157;Oui;Peu informé(e);Oui;Instagram;Divertissement (humour, création artistique);Négatif;Divertissement/Célébrités;Cela dépend des sources;Fortement diminué;Rarement;Je ne vérifie pas;Moyennement;1;3;3;3;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Assez prêt(e);41-60 ans;Femme;Bac +5 et plus;Instagram;GCV9-4YEG;18/04/2025 18:13:12;;18/04/2025 18:23:16;603,7394502000001;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
158;Oui;Moyennement informé(e);Oui;"Facebook;Instagram";Désinformation (propagande, manipulation politique);Très négatif;Politique;Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);41-60 ans;Femme;Bac +5 et plus;Instagram;5N9W-Z7TD;18/04/2025 18:29:27;;18/04/2025 18:34:24;297,84339679999994;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
159;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Arnaque ou fraude en ligne;Neutre;Journalisme/Actualités;Cela dépend des sources;Resté stable;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;3;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Peu prêt(e);26-40 ans;Femme;Bac +5 et plus;Aucun;PNBB-BTRW;18/04/2025 18:53:41;;18/04/2025 18:56:38;177,2470077;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
160;Oui;Bien informé(e);Oui;Facebook;Divertissement (humour, création artistique);Neutre;Divertissement/Célébrités;Oui;Légèrement diminué;Parfois;Vérifier l’auteur et la crédibilité du média;Légèrement;1;1;1;2;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);18-25 ans;Femme;Bac +2;TikTok;SL2M-FHCF;18/04/2025 19:04:12;;18/04/2025 19:05:37;84,56478139999999;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
161;Oui;Très bien informé(e);Oui;X anciennement Twitter;Divertissement (humour, création artistique);Positif;Journalisme/Actualités;Non;Resté stable;Rarement;Je ne vérifie pas;Pas du tout;1;4;1;3;Non, elle n'est pas réelle;Je ne sais pas;Je ne sais pas;Non;Pas du tout prêt(e);18-25 ans;Homme;Collège ou moins;Aucun;QB5J-D9TL;18/04/2025 22:15:46;;18/04/2025 22:22:50;424,66166;CHT;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
162;Non;Pas du tout informé(e);Je ne suis pas sûr(e);"Facebook;X anciennement Twitter;TikTok";Arnaque ou fraude en ligne;Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Non;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Moyennement;1;3;3;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);26-40 ans;Femme;Bac +5 et plus;TikTok;PZLE-SNYN;18/04/2025 23:14:37;;18/04/2025 23:19:54;317,3933018;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
163;Oui;Très bien informé(e);Oui;Facebook;Divertissement (humour, création artistique);Très positif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Oui;Resté stable;Parfois;Vérifier l’auteur et la crédibilité du média;Légèrement;1;1;1;2;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);18-25 ans;Autre / Préfère ne pas répondre;Bac +5 et plus;Facebook;847M-V7SW;19/04/2025 01:45:26;;19/04/2025 01:46:50;83,72919869999998;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
164;Non;Peu informé(e);Je ne suis pas sûr(e);Autres;Arnaque ou fraude en ligne;Neutre;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Parfois;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Moyennement;1;3;3;2;Oui, elle est réelle;Les utilisateurs eux-mêmes;Non;Sans opinion;Peu prêt(e);26-40 ans;Homme;Bac +3 / Licence;TikTok;KACT-7YYY;19/04/2025 10:25:38;;19/04/2025 10:27:45;126,9720209;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
165;Oui;Bien informé(e);Oui;Facebook;Divertissement (humour, création artistique);Neutre;Divertissement/Célébrités;Oui;Resté stable;Parfois;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Moyennement;1;1;3;2;Non, elle n'est pas réelle;Les gouvernements;Oui;Oui;Assez prêt(e);18-25 ans;Autre / Préfère ne pas répondre;Bac +3 / Licence;Facebook;L3JV-BUFQ;19/04/2025 15:43:20;;19/04/2025 15:44:46;85,7432116;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
166;Oui;Moyennement informé(e);Oui;Instagram;Désinformation (propagande, manipulation politique);Neutre;Politique;Cela dépend des sources;Resté stable;Rarement;Vérifier l’auteur et la crédibilité du média;Légèrement;1;3;2;2;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);Plus de 60 ans;Autre / Préfère ne pas répondre;Collège ou moins;Aucun;UXJX-YQ3B;19/04/2025 16:14:39;;19/04/2025 16:15:53;74,04183929999999;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
167;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Arnaque ou fraude en ligne;Négatif;Événements sociaux (crises, catastrophes, etc.);Cela dépend des sources;Resté stable;Parfois;Vérifier l’auteur et la crédibilité du média;Moyennement;1;3;2;4;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);18-25 ans;Femme;Bac +5 et plus;Instagram;SNUV-5FDH;20/04/2025 00:43:11;;20/04/2025 00:45:41;150,76504640000002;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
168;Oui;Moyennement informé(e);Oui;"Facebook;X anciennement Twitter;Instagram;TikTok;YouTube;Autres";Arnaque ou fraude en ligne;Très négatif;Journalisme/Actualités;Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;1;1;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);41-60 ans;Homme;Bac +3 / Licence;TikTok;N9KP-8B9F;20/04/2025 02:02:57;;20/04/2025 02:08:37;340,1992393;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
169;Oui;Moyennement informé(e);Oui;Facebook;Arnaque ou fraude en ligne;Négatif;Événements sociaux (crises, catastrophes, etc.);Oui;Légèrement diminué;Souvent;Analyser les commentaires et réactions d’autres utilisateurs;Légèrement;1;3;3;4;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);Moins de 18 ans;Homme;Lycée;Facebook;3AE5-96TC;20/04/2025 05:16:39;;20/04/2025 05:20:01;201,94344199999998;CN;Terminé;;direct;Tablette;950bbe41fac747d1866808dd701b735f
170;Oui;Peu informé(e);Oui;"Instagram;TikTok";Divertissement (humour, création artistique);Neutre;Divertissement/Célébrités;Cela dépend des sources;Fortement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;2;3;Non, elle n'est pas réelle;Je ne sais pas;Oui;Oui;Peu prêt(e);Moins de 18 ans;Femme;Lycée;TikTok;HFEJ-WRRD;20/04/2025 19:58:26;;20/04/2025 20:03:58;332,1279634;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
171;Oui;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Désinformation (propagande, manipulation politique);Neutre;"Politique;Divertissement/Célébrités";Cela dépend des sources;Resté stable;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Assez prêt(e);Moins de 18 ans;Femme;Lycée;TikTok;MLXA-RQDH;20/04/2025 20:05:15;;20/04/2025 20:08:59;223,53610959999997;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
172;Oui;Moyennement informé(e);Oui;TikTok;Divertissement (humour, création artistique);Neutre;Divertissement/Célébrités;Cela dépend des sources;Resté stable;Parfois;"Rechercher d’autres sources fiables;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Sans opinion;Sans opinion;Pas du tout prêt(e);Moins de 18 ans;Femme;Lycée;TikTok;JTUK-AXBT;20/04/2025 20:07:25;;20/04/2025 20:10:23;177,64274249999997;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
173;Non;Pas du tout informé(e);Oui;"Instagram;TikTok";Désinformation (propagande, manipulation politique);Très négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Légèrement diminué;Rarement;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;3;4;Oui, elle est réelle;Je ne sais pas;Oui;Sans opinion;Indifférent(e);18-25 ans;Femme;Lycée;TikTok;5L37-EW8Q;20/04/2025 20:07:48;;20/04/2025 20:12:19;270,529339;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
174;Oui;Moyennement informé(e);Oui;TikTok;Divertissement (humour, création artistique);Très négatif;"Politique;Divertissement/Célébrités";Cela dépend des sources;Resté stable;Toujours;"Rechercher d’autres sources fiables;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;2;Oui, elle est réelle;Je ne sais pas;Oui;Non;Pas du tout prêt(e);Moins de 18 ans;Femme;Lycée;TikTok;STW7-Q5KS;20/04/2025 20:07:35;;20/04/2025 20:13:20;345,0498245;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
175;Oui;Bien informé(e);Oui;X anciennement Twitter;Divertissement (humour, création artistique);Neutre;Divertissement/Célébrités;Cela dépend des sources;Resté stable;Toujours;Rechercher d’autres sources fiables;Pas du tout;2;4;3;2;Oui, elle est réelle;Les utilisateurs eux-mêmes;Sans opinion;Oui;Assez prêt(e);Moins de 18 ans;Femme;Lycée;TikTok;M449-VYVQ;20/04/2025 20:14:34;;20/04/2025 20:18:43;249,44854479999998;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
176;Oui;Moyennement informé(e);Oui;"Instagram;TikTok";Divertissement (humour, création artistique);Neutre;"Politique;Divertissement/Célébrités";Cela dépend des sources;Fortement diminué;Parfois;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;3;4;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Assez prêt(e);Moins de 18 ans;Femme;Lycée;Instagram;9G2F-YGNG;20/04/2025 20:17:19;;20/04/2025 20:22:00;280,719763;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
177;Oui;Bien informé(e);Oui;"Instagram;TikTok";Désinformation (propagande, manipulation politique);Négatif;"Politique;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Pas du tout;1;3;2;4;Oui, elle est réelle;Je ne sais pas;Oui;Oui;Assez prêt(e);Moins de 18 ans;Femme;Lycée;Instagram;JKQU-RV3A;20/04/2025 20:20:41;;20/04/2025 20:31:54;672,6386493;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
178;Non;Pas du tout informé(e);Non;Autres;Autres;Très positif;"Politique;Événements sociaux (crises, catastrophes, etc.)";Non;Légèrement augmenté;Parfois;Rechercher d’autres sources fiables;Pas du tout;1;3;3;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Non;Assez prêt(e);Moins de 18 ans;Femme;Lycée;Instagram;PYT4-3A5N;20/04/2025 20:24:06;;20/04/2025 20:33:14;548,5930091;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
179;Non;Pas du tout informé(e);Oui;"X anciennement Twitter;Instagram;TikTok";Divertissement (humour, création artistique);Négatif;"Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Peu prêt(e);Moins de 18 ans;Femme;Lycée;Instagram;ZVM9-577C;20/04/2025 20:39:27;;20/04/2025 20:43:45;257,5262231;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
180;Oui;Bien informé(e);Oui;"Instagram;TikTok";Arnaque ou fraude en ligne;Négatif;"Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;2;1;Non, elle n'est pas réelle;Je ne sais pas;Oui;Oui;Indifférent(e);Moins de 18 ans;Femme;Lycée;Instagram;UZ3R-VADA;20/04/2025 20:44:50;;20/04/2025 20:48:46;236,18086760000003;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
181;Oui;Moyennement informé(e);Oui;"Instagram;YouTube";Désinformation (propagande, manipulation politique);Négatif;Politique;Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;4;Non, elle n'est pas réelle;Les médias et journalistes;Oui;Sans opinion;Indifférent(e);Moins de 18 ans;Homme;Lycée;Instagram;2NQH-SGYS;20/04/2025 20:47:40;;20/04/2025 20:52:07;267,44232719999997;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
