N°Obs;Avez-vous déjà entendu parler des Deep Fakes ?;Comment évalueriez vous votre niveau de connaissance des Deep Fakes ?;Avez-vous déjà vu un Deep Fake sur les réseaux sociaux ?;_Sur quelles plateformes avez-vous principalement vu des Deep Fakes ? (Plusieurs choix possibles);Selon vous, à quelle fin les Deep Fakes sont-ils le plus souvent utilisés ?;Selon vous, quel est l’impact global des Deep Fakes sur la société ?;Quels domaines vous semblent les plus touchés par les deep fakes ? (Plusieurs choix possibles);Faites-vous confiance aux informations que vous trouvez sur les réseaux sociaux ?;Depuis que vous avez entendu parler des Deep Fakes, votre confiance dans les médias sociaux a-t-elle changé ?;À quelle fréquence vérifiez-vous l’authenticité d’une information avant de la partager ?;Quelles sont vos méthodes de vérification des informations en ligne ? (Plusieurs choix possibles);Avez-vous réduit la fréquence de partage d’informations sur les réseaux sociaux à cause de la méfiance liée aux Deep Fakes;Parmi les 4 photos, laquelle vous semble être une vraie photo ?;_Selon vous, laquelle vous semble être une vraie photo ?;Selon vous, quelle image est authentique ?;Parmi les 4 photos, laquelle est un Deepfakes ?;D’après vous, la personne dans cette vidéo est-elle réelle ou générée artificiellement ?;Selon vous, qui est le principal responsable de la lutte contre les deep fakes ?;Pensez-vous que les plateformes sociales devraient mettre en place des outils d’identification automatique des deep fakes ?;Seriez-vous favorable à des formations ou des campagnes de sensibilisation sur les deep fakes ?;Seriez-vous prêt(e) à suivre régulièrement des formations sur la détection des deep fakes ?;Quel est votre tranche d'âge ?;Vous êtes ...?;Quel est votre niveau d’éducation actuel ?;Quel est votre principal réseau social utilisé au quotidien ?;Clé;Date de saisie;Date de dernière modification;Date de dernier enregistrement;Temps de saisie;Langue;Progression;Dernière question saisie;Origine;Appareil utilisé pour la saisie;Campagne de diffusion
83;Oui;Peu informé(e);Oui;Facebook;Arnaque ou fraude en ligne;Très négatif;"Politique;Divertissement/Célébrités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;4;1;Non, elle n'est pas réelle;Je ne sais pas;Oui;Oui;Peu prêt(e);26-40 ans;Femme;Bac +5 et plus;TikTok;D7M8-5CNG;17/04/2025 17:27:46;;17/04/2025 17:32:02;256,2049381;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
84;Oui;Très bien informé(e);Oui;"Facebook;X anciennement Twitter";Divertissement (humour, création artistique);Neutre;Événements sociaux (crises, catastrophes, etc.);Oui;Resté stable;Parfois;"Rechercher d’autres sources fiables;Utiliser des outils de fact-checking (ex : Décodex, Snopes)";Pas du tout;1;4;1;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Non;Non;Peu prêt(e);41-60 ans;Homme;Bac +3 / Licence;TikTok;CTZ4-CBAT;17/04/2025 17:43:19;;17/04/2025 17:56:57;817,8498288;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
85;Oui;Bien informé(e);Oui;"Facebook;X anciennement Twitter;Instagram;TikTok";Désinformation (propagande, manipulation politique);Très négatif;Divertissement/Célébrités;Cela dépend des sources;Légèrement diminué;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Analyser les commentaires et réactions d’autres utilisateurs";Très fortement;1;3;3;1;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Très prêt(e);26-40 ans;Homme;Bac +5 et plus;Facebook;C56E-9G9E;17/04/2025 18:08:00;;17/04/2025 18:12:47;287,5284252;EN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
86;Oui;Bien informé(e);Je ne suis pas sûr(e);"TikTok;Autres";Autres;Très négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Resté stable;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Très fortement;1;3;3;4;Oui, elle est réelle;Autres;Oui;Oui;Très prêt(e);26-40 ans;Femme;Bac +5 et plus;TikTok;MPFT-DQYE;17/04/2025 18:07:48;;17/04/2025 18:16:12;504,04896210000004;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
87;Non;Moyennement informé(e);Oui;"Facebook;TikTok";Divertissement (humour, création artistique);Neutre;Événements sociaux (crises, catastrophes, etc.);Cela dépend des sources;Resté stable;Rarement;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;4;2;Oui, elle est réelle;Les médias et journalistes;Oui;Oui;Indifférent(e);26-40 ans;Homme;Bac +5 et plus;Facebook;M5RN-VKU7;17/04/2025 18:11:56;;17/04/2025 18:19:08;431,61880130000003;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
88;Oui;Moyennement informé(e);Oui;"Facebook;X anciennement Twitter";Divertissement (humour, création artistique);Négatif;"Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;4;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Indifférent(e);26-40 ans;Femme;Bac +5 et plus;Facebook;UR86-8YX2;17/04/2025 18:23:33;;17/04/2025 18:31:30;476,6053125;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
89;Oui;Moyennement informé(e);Oui;"Facebook;TikTok";Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Resté stable;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Pas du tout;1;3;3;4;Oui, elle est réelle;Les utilisateurs eux-mêmes;Sans opinion;Oui;Indifférent(e);26-40 ans;Homme;Bac +5 et plus;Instagram;N9XK-AXC7;17/04/2025 18:34:29;;17/04/2025 18:39:14;285,52168249999994;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
90;Oui;Moyennement informé(e);Oui;Facebook;Arnaque ou fraude en ligne;Très négatif;Divertissement/Célébrités;Cela dépend des sources;Fortement diminué;Toujours;Vérifier l’auteur et la crédibilité du média;Beaucoup;1;3;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);26-40 ans;Femme;Bac +3 / Licence;Instagram;WG58-9LS9;17/04/2025 18:49:19;;17/04/2025 18:56:34;435,5422405;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
91;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Désinformation (propagande, manipulation politique);Neutre;Événements sociaux (crises, catastrophes, etc.);Cela dépend des sources;Fortement diminué;Souvent;Je ne vérifie pas;Très fortement;1;3;4;3;Non, elle n'est pas réelle;Autres;Sans opinion;Non;Indifférent(e);26-40 ans;Homme;Bac +3 / Licence;TikTok;3U9P-2K2K;17/04/2025 19:17:15;;17/04/2025 19:23:17;362,4563278999999;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
92;Oui;Moyennement informé(e);Oui;Instagram;Divertissement (humour, création artistique);Négatif;Divertissement/Célébrités;Cela dépend des sources;Resté stable;Parfois;Vérifier l’auteur et la crédibilité du média;Moyennement;1;3;4;2;Non, elle n'est pas réelle;Les gouvernements;Oui;Oui;Pas du tout prêt(e);26-40 ans;Femme;Bac +3 / Licence;Instagram;HDG8-U2EQ;17/04/2025 19:43:27;;17/04/2025 19:55:19;711,9310782;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
